更新时间,经度,维度,飞行距离,飞行高度(dm)
2020-07-10 20:31:57.467000,121.41583708155986,31.17557234709766,1189,324.95452880859375
2020-07-10 20:31:57.570000,121.41583774739229,31.17557246069791,1189,325.0191345214844
2020-07-10 20:31:57.672000,121.41583774739229,31.17557246069791,1189,325.0191345214844
2020-07-10 20:31:57.775000,121.41583814375164,31.175572636830413,1190,325.0616149902344
2020-07-10 20:31:57.878000,121.41583887334762,31.17557318773953,1191,325.15423583984375
2020-07-10 20:31:57.980000,121.41583944337452,31.17557342015106,1191,325.21429443359375
2020-07-10 20:31:58.082000,121.41583993105353,31.175573569707357,1191,325.2635803222656
2020-07-10 20:31:58.184000,121.41583993105353,31.175573569707357,1191,325.2635803222656
2020-07-10 20:31:58.287000,121.41584120856744,31.17557375105088,1192,325.38677978515625
2020-07-10 20:31:58.390000,121.41584120856744,31.17557375105088,1192,325.38677978515625
2020-07-10 20:31:58.495000,121.41584266775942,31.17557381420845,1193,325.52581787109375
2020-07-10 20:31:58.600000,121.41584345278802,31.175573669446294,1193,325.6022033691406
2020-07-10 20:31:58.702000,121.41584345278802,31.175573669446294,1193,325.6022033691406
2020-07-10 20:31:58.806000,121.41584401961073,31.1755734606928,1193,325.6609191894531
2020-07-10 20:31:58.909000,121.41584492415595,31.175572721665834,1194,325.7810363769531
2020-07-10 20:31:59.012000,121.41584521221338,31.1755723319857,1194,325.8323059082031
2020-07-10 20:31:59.115000,121.41584534775097,31.175572042878265,1194,325.866943359375
2020-07-10 20:31:59.217000,121.41584534775097,31.175572042878265,1194,325.866943359375
2020-07-10 20:31:59.321000,121.41584553263323,31.175571549081933,1194,325.9247741699219
2020-07-10 20:31:59.423000,121.4158455563443,31.175571377847792,1194,325.9439392089844
2020-07-10 20:31:59.526000,121.4158455207777,31.175571283319876,1193,325.9549865722656
2020-07-10 20:31:59.629000,121.415845493542,31.175571220266523,1193,325.96246337890625
2020-07-10 20:31:59.732000,121.415845493542,31.175571220266523,1193,325.96246337890625
2020-07-10 20:31:59.835000,121.41584544932407,31.175571197442252,1193,325.9673767089844
2020-07-10 20:31:59.938000,121.41584541407788,31.175571155441425,1193,325.9731140136719
2020-07-10 20:32:00.044000,121.4158452705298,31.175571097911753,1193,325.9881896972656
2020-07-10 20:32:00.144000,121.41584515485822,31.17557110968866,1193,325.999267578125
2020-07-10 20:32:00.246000,121.4158448523819,31.175571128760996,1193,326.02813720703125
2020-07-10 20:32:00.349000,121.4158448523819,31.175571128760996,1193,326.02813720703125
2020-07-10 20:32:00.452000,121.41584468352065,31.175571178161473,1193,326.04510498046875
2020-07-10 20:32:00.554000,121.4158445473422,31.17557125757743,1193,326.060791015625
2020-07-10 20:32:00.657000,121.41584440411454,31.17557133574274,1194,326.07696533203125
2020-07-10 20:32:00.760000,121.41584440411454,31.17557133574274,1194,326.07696533203125
2020-07-10 20:32:00.864000,121.41584414906035,31.175571446320603,1194,326.1043395996094
2020-07-10 20:32:00.965000,121.4158440192903,31.17557149509576,1194,326.1178283691406
2020-07-10 20:32:01.067000,121.4158437805775,31.175571559503975,1193,326.1417236328125
2020-07-10 20:32:01.170000,121.4158437805775,31.175571559503975,1193,326.1417236328125
2020-07-10 20:32:01.272000,121.41584366394468,31.175571571385102,1193,326.15289306640625
2020-07-10 20:32:01.374000,121.41584357871302,31.175571596398004,1193,326.1614685058594
2020-07-10 20:32:01.478000,121.41584347874203,31.1755715958769,1193,326.1709899902344
2020-07-10 20:32:01.579000,121.41584340023917,31.17557159285451,1193,326.178466796875
2020-07-10 20:32:01.683000,121.41584328745138,31.17557158316201,1193,326.1892395019531
2020-07-10 20:32:01.786000,121.41584328745138,31.17557158316201,1193,326.1892395019531
2020-07-10 20:32:01.889000,121.4158430875094,31.175571621306684,1194,326.20892333984375
2020-07-10 20:32:01.992000,121.4158430875094,31.175571621306684,1194,326.20892333984375
2020-07-10 20:32:02.094000,121.41584299811225,31.175571634334233,1193,326.21832275390625
