时间,经度,维度
2020-07-10 12:31:35,121.4134504,31.1765285
2020-07-10 12:31:35,121.4134727,31.1765209
2020-07-10 12:31:35,121.4134954,31.1765131
2020-07-10 12:31:35,121.4135186,31.1765051
2020-07-10 12:31:35,121.413542,31.176497
2020-07-10 12:31:36,121.4135656,31.1764889
2020-07-10 12:31:36,121.413589,31.1764807
2020-07-10 12:31:36,121.4136123,31.1764726
2020-07-10 12:31:36,121.4136355,31.1764647
2020-07-10 12:31:36,121.4136586,31.1764566
2020-07-10 12:31:37,121.4136816,31.1764485
2020-07-10 12:31:37,121.4137047,31.1764401
2020-07-10 12:31:37,121.4137278,31.1764316
2020-07-10 12:31:37,121.4137512,31.176423
2020-07-10 12:31:37,121.4137746,31.1764143
2020-07-10 12:31:38,121.4138218,31.1763965
2020-07-10 12:31:38,121.4138454,31.1763875
2020-07-10 12:31:38,121.4138454,31.1763875
2020-07-10 12:31:38,121.4138692,31.1763783
2020-07-10 12:31:38,121.4138928,31.1763691
2020-07-10 12:31:39,121.4139164,31.1763598
2020-07-10 12:31:39,121.4139401,31.1763504
2020-07-10 12:31:39,121.4139638,31.176341
2020-07-10 12:31:39,121.4139877,31.1763316
2020-07-10 12:31:39,121.4140117,31.176322
2020-07-10 12:31:40,121.414036,31.1763123
2020-07-10 12:31:40,121.4140602,31.1763026
2020-07-10 12:31:40,121.4140845,31.1762929
2020-07-10 12:31:40,121.4141087,31.1762832
2020-07-10 12:31:40,121.4141325,31.1762735
2020-07-10 12:31:41,121.4141562,31.1762639
2020-07-10 12:31:41,121.4141794,31.1762543
2020-07-10 12:31:41,121.4142023,31.1762447
2020-07-10 12:31:41,121.4142251,31.176235
2020-07-10 12:31:41,121.4142477,31.1762253
2020-07-10 12:31:42,121.41427,31.1762156
2020-07-10 12:31:42,121.4142917,31.1762059
2020-07-10 12:31:42,121.4143341,31.1761871
2020-07-10 12:31:42,121.4143547,31.176178
2020-07-10 12:31:43,121.414375,31.1761689
2020-07-10 12:31:43,121.414436,31.1761422
2020-07-10 12:31:43,121.4144564,31.1761333
2020-07-10 12:31:44,121.4144968,31.1761155
2020-07-10 12:31:44,121.4145169,31.1761066
2020-07-10 12:31:44,121.4145368,31.1760979
2020-07-10 12:31:44,121.4145565,31.1760893
2020-07-10 12:31:45,121.4145761,31.1760808
2020-07-10 12:31:45,121.4145956,31.1760723
2020-07-10 12:31:45,121.414615,31.176064
2020-07-10 12:31:45,121.4146343,31.1760557
2020-07-10 12:31:45,121.4146534,31.1760476
2020-07-10 12:31:46,121.4146722,31.1760395
2020-07-10 12:31:46,121.4146909,31.1760315
2020-07-10 12:31:46,121.4147095,31.1760235
2020-07-10 12:31:46,121.4147282,31.1760154
2020-07-10 12:31:46,121.4147468,31.1760072
2020-07-10 12:31:47,121.4147654,31.1759991
2020-07-10 12:31:47,121.4147837,31.175991
2020-07-10 12:31:47,121.4148016,31.1759831
2020-07-10 12:31:47,121.4148193,31.1759753
2020-07-10 12:31:47,121.4148368,31.1759675
2020-07-10 12:31:48,121.4148543,31.1759598
2020-07-10 12:31:48,121.4148722,31.1759519
2020-07-10 12:31:48,121.4148901,31.1759439
